,stock_code,return_adj,市净率,市盈率,市值,每股收益,每股净资产
1,601066.SH,1.945875,4.15,63.921,197.3,0.38,6.22
2,603259.SH,1.585762,6.16,48.2,108.9,2.23,15.00 
3,002714.SZ,0.827544,14.83,279.911,145.5,0.17,4.71
4,603260.SH,0.742083,5.69,14.003,41.9,3.35,11
5,002925.SZ,0.736203,6.46,29.546,24,1.81,8.12
6,300122.SZ,0.672386,17.51,50.369,73.1,0.91,2.61
7,600516.SH,0.650949,4.5,8.478,51.1,2.53,6.29
8,601155.SH,0.634699,3.3,9.278,97.3,4.69,13.07
9,000661.SZ,0.594111,9.91,52.139,52.4,5.92,31.13
10,600588.SH,0.591304,10.43,112.049,68.5,0.32,3.43
11,000826.SZ,-0.294526,1.65,19.244,21.7,0.54,9.22
12,603156.SH,-0.33144,3.75,16.556,44.3,3.59,15.68
13,002797.SZ,-0.336813,3.24,228.696,28.4,0.04,2.51
14,002252.SZ,-0.35716,4.66,-1,51,-0.3,2.2
15,603858.SH,-0.360506,2.11,15.355,28.9,2.13,15.5
16,300072.SZ,-0.41194,2.85,51.672,26.2,0.22,3.92
17,002558.SZ,-0.429197,4.94,37.721,45.3,0.59,4.53
18,601212.SH,-0.479851,3.67,141.01,33.7,-0.04,1.32
19,002450.SZ,-0.481498,1.14,52.283,20.9,0.11,5.2
20,601360.SH,-0.614731,8.66,53.436,179.2,0.38,3.06